time,charge,power,odometer,weight,temperature,doors,start_date,start_time
0.0,0.0,0.0,,12970.0,17.25,0.0,May 22 2019,08:02:28
1.0,0.0,0.0,,12970.0,17.25,0.0,May 22 2019,08:02:28
2.0,0.0,0.0,,12970.0,17.25,0.0,May 22 2019,08:02:28
3.0,0.0,0.0,,12970.0,17.25,0.0,May 22 2019,08:02:28
4.0,0.0,0.0,,12970.0,17.25,0.0,May 22 2019,08:02:28
5.0,0.0,0.0,,12970.0,17.25,0.0,May 22 2019,08:02:28
6.0,0.0,0.0,,12970.0,17.25,0.0,May 22 2019,08:02:28
7.0,0.0,0.0,,12970.0,17.25,0.0,May 22 2019,08:02:28
8.0,0.0,0.0,,12970.0,17.25,0.0,May 22 2019,08:02:28
9.0,0.0,0.0,,12970.0,17.25,0.0,May 22 2019,08:02:28
10.0,0.0,0.0,,12970.0,17.25,0.0,May 22 2019,08:02:28
11.0,0.0,0.0,,12970.0,17.25,0.0,May 22 2019,08:02:28
12.0,0.0,0.0,,12970.0,17.25,0.0,May 22 2019,08:02:28
13.0,0.0,0.0,,12970.0,17.25,0.0,May 22 2019,08:02:28
14.0,0.0,0.0,,12970.0,17.25,0.0,May 22 2019,08:02:28
15.0,0.0,0.0,,12970.0,17.25,0.0,May 22 2019,08:02:28
16.0,0.0,0.0,,,17.25,,May 22 2019,08:02:28
17.0,0.0,0.0,,,17.25,,May 22 2019,08:02:28
18.0,0.0,0.0,,,17.25,,May 22 2019,08:02:28
19.0,0.0,0.0,,,17.25,0.0,May 22 2019,08:02:28
20.0,0.0,0.0,,12970.0,17.25,0.0,May 22 2019,08:02:28
21.0,0.0,0.0,,12970.0,17.25,0.0,May 22 2019,08:02:28
22.0,0.0,0.0,,12970.0,17.25,0.0,May 22 2019,08:02:28
23.0,0.0,0.0,,12970.0,17.25,0.0,May 22 2019,08:02:28
24.0,0.0,0.0,,12970.0,17.25,0.0,May 22 2019,08:02:28
25.0,0.0,0.0,,12970.0,17.25,0.0,May 22 2019,08:02:28
26.0,0.0,0.0,,12970.0,17.25,0.0,May 22 2019,08:02:28
27.0,0.0,0.0,,12970.0,17.25,0.0,May 22 2019,08:02:28
28.0,0.0,-0.75,,12970.0,17.25,0.0,May 22 2019,08:02:28
29.0,0.0,-2.849999999999908,,12970.0,17.25,0.0,May 22 2019,08:02:28
30.0,0.0,-5.2999999999998995,,12970.0,17.25,0.0,May 22 2019,08:02:28
31.0,0.0,-2.1499999999998636,,12970.0,17.25,1.0,May 22 2019,08:02:28
32.0,0.0,-2.199999999999818,,12970.0,17.25,1.0,May 22 2019,08:02:28
33.0,0.0,-2.6499999999998636,,13000.0,17.25,1.0,May 22 2019,08:02:28
34.0,0.0,-2.849999999999909,,13020.0,17.25,2.0,May 22 2019,08:02:28
35.0,0.0,-2.949999999999818,,13030.0,17.25,2.0,May 22 2019,08:02:28
36.0,0.0,-3.349999999999909,,13040.0,17.25,2.0,May 22 2019,08:02:28
37.0,0.0,-3.5499999999999545,,13050.0,17.25,2.0,May 22 2019,08:02:28
38.0,0.0,-3.699999999999818,,13050.0,17.25,2.0,May 22 2019,08:02:28
39.0,0.0,-4.349999999999909,,13050.0,17.25,2.0,May 22 2019,08:02:28
40.0,0.0,-4.899999999999864,,13050.0,17.25,2.0,May 22 2019,08:02:28
41.0,0.0,-5.2999999999999545,,13060.0,17.25,2.0,May 22 2019,08:02:28
42.0,0.0,-5.899999999999864,,13060.0,17.25,2.0,May 22 2019,08:02:28
43.0,0.0,-6.399999999999864,,13060.0,17.25,2.0,May 22 2019,08:02:28
44.0,0.0,-7.099999999999909,,13060.0,17.25,2.0,May 22 2019,08:02:28
45.0,0.0,-7.899999999999864,,13070.0,17.25,2.0,May 22 2019,08:02:28
46.0,0.0,-9.0,,13070.0,17.25,2.0,May 22 2019,08:02:28
47.0,0.0,-9.75,,13070.0,17.25,2.0,May 22 2019,08:02:28
48.0,0.0,-30.59999999999991,,13070.0,17.25,2.0,May 22 2019,08:02:28
49.0,0.0,-32.59999999999991,,13070.0,17.25,2.0,May 22 2019,08:02:28
50.0,0.0,-34.44999999999982,,13070.0,17.25,2.0,May 22 2019,08:02:28
51.0,0.0,-36.59999999999991,,13080.0,17.25,2.0,May 22 2019,08:02:28
52.0,0.0,-38.75,,13080.0,17.25,2.0,May 22 2019,08:02:28
53.0,0.0,-40.899999999999864,,13080.0,17.25,2.0,May 22 2019,08:02:28
54.0,0.0,-43.049999999999955,,13080.0,17.25,2.0,May 22 2019,08:02:28
55.0,0.0,-44.44999999999982,,13090.0,17.25,2.0,May 22 2019,08:02:28
56.0,0.0,-45.399999999999864,,13090.0,17.25,2.0,May 22 2019,08:02:28
57.0,0.0,-45.549999999999955,,13090.0,17.25,2.0,May 22 2019,08:02:28
58.0,0.0,-45.25,,13090.0,17.25,2.0,May 22 2019,08:02:28
59.0,0.0,-44.5999999999999,,13090.0,17.25,2.0,May 22 2019,08:02:28
60.0,0.0,-43.349999999999916,,13090.0,17.25,2.0,May 22 2019,08:02:28
61.0,0.0,-42.14999999999987,,13090.0,17.25,2.0,May 22 2019,08:02:28
62.0,0.0,-40.09999999999992,,13090.0,17.25,2.0,May 22 2019,08:02:28
63.0,0.0,-37.59999999999992,,13100.0,17.25,2.0,May 22 2019,08:02:28
64.0,0.0,-35.0,,13100.0,17.25,2.0,May 22 2019,08:02:28
65.0,0.0,-31.699999999999818,,13100.0,17.25,2.0,May 22 2019,08:02:28
66.0,0.0,-29.299999999999955,,13100.0,17.25,2.0,May 22 2019,08:02:28
67.0,0.0,-26.049999999999955,,13100.0,17.25,2.0,May 22 2019,08:02:28
68.0,0.0,-33.049999999999955,,13110.0,17.25,2.0,May 22 2019,08:02:28
69.0,0.0,-30.299999999999955,,13110.0,17.25,2.0,May 22 2019,08:02:28
70.0,0.0,-28.399999999999864,,13110.0,17.25,2.0,May 22 2019,08:02:28
71.0,0.0,-26.09999999999991,,13110.0,17.25,2.0,May 22 2019,08:02:28
72.0,0.0,-23.75,,13110.0,17.25,2.0,May 22 2019,08:02:28
73.0,0.0,-22.049999999999955,,13110.0,17.25,2.0,May 22 2019,08:02:28
74.0,0.0,-21.149999999999864,,13110.0,17.25,2.0,May 22 2019,08:02:28
75.0,0.0,-21.149999999999864,,13120.0,17.25,2.0,May 22 2019,08:02:28
76.0,0.0,-21.049999999999955,,13120.0,17.25,2.0,May 22 2019,08:02:28
77.0,0.0,-21.0,,13120.0,17.25,2.0,May 22 2019,08:02:28
78.0,0.0,-20.649999999999864,,13120.0,17.25,2.0,May 22 2019,08:02:28
79.0,0.0,-20.199999999999818,,13120.0,17.25,2.0,May 22 2019,08:02:28
80.0,0.0,-20.199999999999818,,13120.0,17.25,2.0,May 22 2019,08:02:28
81.0,0.0,-19.799999999999955,,13120.0,17.25,2.0,May 22 2019,08:02:28
82.0,0.0,-19.399999999999864,,13120.0,17.25,2.0,May 22 2019,08:02:28
83.0,0.0,-19.299999999999955,,13110.0,17.25,2.0,May 22 2019,08:02:28
84.0,0.0,-20.84999999999991,,13110.0,17.25,2.0,May 22 2019,08:02:28
85.0,0.0,-23.549999999999955,,13110.0,17.25,2.0,May 22 2019,08:02:28
86.0,0.0,-27.199999999999818,,13110.0,17.25,2.0,May 22 2019,08:02:28
87.0,0.0,-30.399999999999864,,13110.0,17.25,2.0,May 22 2019,08:02:28
