time,charge,power,odometer,weight,temperature,doors,start_date,start_time
0,0,-50.1171777021499,106221.1330448159,14914.314817847842,17.23,2,2023-04-15,12:05:00
1,0,-44.81117786501864,106221.13310806034,15385.805950651762,16.62,2,2023-04-15,12:05:00
2,0,-48.96038922489812,106221.1332426613,15309.970483169425,16.84,2,2023-04-15,12:05:00
3,0,-50.02848355643574,106221.13369407436,15367.877953399304,16.92,2,2023-04-15,12:05:00
4,0,-55.4581587627986,106221.13452968207,15720.524479904989,16.87,2,2023-04-15,12:05:00
5,0,-57.47464432534951,106221.1357251186,14658.381120136173,16.83,2,2023-04-15,12:05:00
6,,-58.74455137007674,106221.13744535917,14676.737992275888,16.58,2,2023-04-15,12:05:00
7,0,-62.35317010134491,106221.13963585877,16056.735705632624,16.98,2,2023-04-15,12:05:00
8,0,-65.32100822225411,106221.14177023857,15063.226916409709,16.77,2,2023-04-15,12:05:00
9,0,-67.19063952424563,106221.14394211167,16477.559955450797,16.18,2,2023-04-15,12:05:00
10,0,,106221.1466221222,14901.895981520758,17.75,2,2023-04-15,12:05:00
11,0,-77.41049600246822,106221.14988989691,15165.108118703778,17.4,2,2023-04-15,12:05:00
12,0,-70.21989189167027,106221.15333087998,15626.738137430073,17.35,2,2023-04-15,12:05:00
13,0,-77.31452011618727,106221.15706128874,15377.099709014723,17.51,2,2023-04-15,12:05:00
14,0,-83.57421447311843,106221.16124278377,14774.984611094456,17.34,2,2023-04-15,12:05:00
15,0,-81.75787871075364,106221.1654600908,15584.249434764597,17.05,2,2023-04-15,12:05:00
16,0,-78.33040748319806,106221.16941566969,14707.566069446963,16.75,2,2023-04-15,12:05:00
17,0,-90.69207813929458,106221.17435602892,15676.502183851208,17.03,2,2023-04-15,12:05:00
18,0,-90.11870761480272,106221.17945904117,15709.991208305088,17.4,2,2023-04-15,12:05:00
19,0,-92.43191627065485,106221.18504549448,15743.40980552724,17.79,2,2023-04-15,12:05:00
20,0,-94.70660983032435,106221.19094550435,16108.43110688317,17.46,2,2023-04-15,12:05:00
21,0,-87.1667176427304,106221.19574875511,14696.1568242504,17.46,2,2023-04-15,12:05:00
22,0,-90.96155511678236,106221.20067249906,14647.053467191277,18.01,2,2023-04-15,12:05:00
23,0,-88.78352248260511,106221.20529542943,16257.681232185545,17.29,2,2023-04-15,12:05:00
24,0,-91.55760576836524,106221.21029910418,14552.976590968423,17.81,2,2023-04-15,12:05:00
25,0,-88.20607999869668,106221.21578058571,15082.692556939888,17.96,2,2023-04-15,12:05:00
26,0,-87.88643932079799,106221.22082643864,15655.094636913074,17.16,2,2023-04-15,12:05:00
27,0,-93.56838268749333,106221.22654499288,14802.153966414626,16.78,2,2023-04-15,12:05:00
28,0,-96.64411750948258,106221.23230293451,16165.145071955041,18.1,2,2023-04-15,12:05:00
29,0,-88.35061615780108,106221.23736393436,15496.966785849592,17.36,2,2023-04-15,12:05:00
30,0,-81.25588293957054,106221.24196348467,14286.788815024556,17.64,2,2023-04-15,12:05:00
31,0,-85.8396477625401,106221.2468463841,16028.16767475504,17.7,2,2023-04-15,12:05:00
32,0,-86.80216689542794,106221.2519474272,15346.390827108076,17.95,2,2023-04-15,12:05:00
33,0,-83.18270566138115,106221.25667169224,16399.01326237033,17.41,2,2023-04-15,12:05:00
34,0,-98.58617845646972,106221.26239153993,16346.998729122506,17.59,2,2023-04-15,12:05:00
35,0,-95.85802651179311,106221.26814211569,14934.084995187493,17.14,2,2023-04-15,12:05:00
36,0,-86.25670779941315,106221.27324402219,15942.317641814354,18.02,2,2023-04-15,12:05:00
37,0,-96.0550077928251,106221.27905891495,16440.065884689466,16.92,2,2023-04-15,12:05:00
38,0,-83.9712121586335,106221.28356067675,16318.325931180056,17.19,2,2023-04-15,12:05:00
39,0,-94.58606901627402,106221.28871254792,14860.397908435334,17.51,2,2023-04-15,12:05:00
40,0,-90.25593894690202,106221.29362722002,15980.86282101595,17.49,2,2023-04-15,12:05:00
41,0,-95.63865294554716,106221.2995304077,13868.148550206792,18.23,2,2023-04-15,12:05:00
42,0,-88.98004416907541,106221.30531718701,14215.125503103845,17.58,2,2023-04-15,12:05:00
43,0,-91.09558551117605,106221.31059221705,15247.869344744242,17.13,2,2023-04-15,12:05:00
44,0,-97.02885427221686,106221.31672224452,15424.710993252445,17.5,2,2023-04-15,12:05:00
45,0,-94.68985904843034,106221.322519082,15435.183473406087,17.63,2,2023-04-15,12:05:00
46,0,-90.89155206369598,106221.32815072118,14858.064456750282,17.5,2,2023-04-15,12:05:00
47,0,-94.27459777086766,106221.33359677487,14584.149118224886,18.63,2,2023-04-15,12:05:00
48,0,-90.33548432634028,106221.33883534619,16233.090144626542,18.03,2,2023-04-15,12:05:00
49,0,-92.28003198838901,106221.34403856513,15641.083816221346,18.32,2,2023-04-15,12:05:00
50,0,-91.767146418811,106221.34920392469,14897.855213460356,17.72,2,2023-04-15,12:05:00
51,0,-90.06896856583758,106221.3549880338,16227.62342077415,17.08,2,2023-04-15,12:05:00
52,0,-100.32850537967455,106221.36098140392,15860.429499766053,17.01,2,2023-04-15,12:05:00
53,0,-91.53704272891743,106221.36675784372,16428.849760188925,18.41,2,2023-04-15,12:05:00
54,0,-98.696914364838,106221.37245828258,14839.105914255002,16.8,2,2023-04-15,12:05:00
55,0,-91.35575060567105,106221.37728792257,15160.793169804198,17.96,2,2023-04-15,12:05:00
56,0,-97.08077671819014,106221.3829238306,16486.020106318505,17.88,2,2023-04-15,12:05:00
57,0,-111.20183891754374,106221.38971760993,16475.36001564647,18.13,2,2023-04-15,12:05:00
58,0,-91.2479118791325,106221.39491205676,15489.160935947668,17.94,2,2023-04-15,12:05:00
59,0,-80.95878890298431,106221.3996008414,15165.74646232339,18.25,2,2023-04-15,12:05:00
60,0,-85.07927313686498,106221.40431791355,15219.628871913657,17.81,2,2023-04-15,12:05:00
61,0,-93.71852008268651,106221.40970888772,15509.188856043023,17.49,2,2023-04-15,12:05:00
62,0,-97.76469403841269,106221.415842629,15179.586991853164,18.44,2,2023-04-15,12:05:00
63,0,-90.20330408724156,106221.4204590566,14661.695986787856,17.48,2,2023-04-15,12:05:00
64,0,-79.95031652702372,106221.4245280884,13672.621627034678,17.62,2,2023-04-15,12:05:00
65,0,-92.93824460754479,106221.42986336225,15221.204470179387,17.85,2,2023-04-15,12:05:00
66,0,-97.36617646197875,106221.43560449009,14657.162661263123,18.29,2,2023-04-15,12:05:00
67,0,-87.47880044044558,106221.44036006802,14682.923156680365,17.73,2,2023-04-15,12:05:00
68,0,-83.28535072257789,106221.44508022041,15912.052288858105,18.07,2,2023-04-15,12:05:00
69,0,-92.66768759623794,106221.45063011053,15523.01662375786,18.3,2,2023-04-15,12:05:00
70,0,-91.1702593303972,106221.45596170584,14609.772028045632,17.87,2,2023-04-15,12:05:00
71,0,-102.59590586965155,106221.46185888223,15278.716697473654,17.82,2,2023-04-15,12:05:00
72,0,-85.35761708067754,106221.46664628187,15180.77714782841,17.87,2,2023-04-15,12:05:00
73,0,-81.65734516393906,106221.47115004092,15944.96608975064,17.15,2,2023-04-15,12:05:00
74,0,-86.9141149936644,106221.47596913276,14581.47410377985,17.72,2,2023-04-15,12:05:00
